"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3957","has title - Test Options","Congruent","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","1644","has title - Test Configuration","Congruent","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","4930","System Rejects Login Attempt with Both Invalid Email and Password","Congruent","2026-07-17","passed","2026-07-17","","login","",""
"","1529","has title","Congruent","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","5876","capture network logs and attach artifacts","Congruent","2026-07-17","passed","2026-07-17","","network-logs.spec.ts","",""
"","10262","System Provides Secure and Non-Revealing Error Messages on Login Failure","Congruent","2026-07-17","passed","2026-07-17","","login","",""
"","2574","has title - Test Reporters","Congruent","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","5454","Login Field Accepts Only Email Format as Username","Congruent","2026-07-17","passed","2026-07-17","","login","",""
"","1094","has title - Home Page","Congruent","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","4906","System Rejects Login Attempt with Unregistered Email","Congruent","2026-07-17","passed","2026-07-17","","login","",""
"","4939","System Rejects Login Attempt with Incorrect Password","Congruent","2026-07-17","passed","2026-07-17","","login","",""
"","6176","has title - Trace Viewer","Congruent","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
