"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6427","has title - Trace Viewer","Congruent","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","5926","capture network logs and attach artifacts","Congruent","2026-07-17","passed","2026-07-17","","network-logs.spec.ts","",""
"","2596","has title - Test Reporters","Congruent","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","1579","has title - Test Configuration","Congruent","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","1052","has title - Home Page","Congruent","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","5188","System Rejects Login Attempt with Incorrect Password","Congruent","2026-07-17","passed","2026-07-17","","login","",""
"","4778","Login Field Accepts Only Email Format as Username","Congruent","2026-07-17","passed","2026-07-17","","login","",""
"","3922","has title - Test Options","Congruent","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","9156","System Provides Secure and Non-Revealing Error Messages on Login Failure","Congruent","2026-07-17","passed","2026-07-17","","login","",""
"","884","has title","Congruent","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","5022","System Rejects Login Attempt with Unregistered Email","Congruent","2026-07-17","passed","2026-07-17","","login","",""
"","6043","System Rejects Login Attempt with Both Invalid Email and Password","Congruent","2026-07-17","passed","2026-07-17","","login","",""
